id,vid,vendor,pid,device,type,net,screen,height,width,driver,image,,,,,
d-0001-142b,v-0001,Fry's Electronics,p-142b,"Arbiter Systems, Inc.",,,,,,,,,,,,
d-0053-5301,v-0053,Planex,p-5301,GW-US54ZGL 802.11bg,,,,,,,,,,,,
d-0079-0006,v-0079,DragonRise Inc.,p-0006,Generic USB Joystick,,,,,,,,,,,,
d-0079-0011,v-0079,DragonRise Inc.,p-0011,Gamepad,,,,,,,,,,,,
d-0105-145f,v-0105,Trust International B.V.,p-145f,NW-3100 802.11b/g 54Mbps Wireless Network Adapter [zd1211],,,,,,,,,,,,
d-0145-0112,v-0145,Unknown,p-0112,Card Reader,,,,,,,,,,,,
d-0204-6025,v-0204,"Chipsbank Microelectronics Co., Ltd",p-6025,CBM2080 Flash drive controller,,,,,,,,,,,,
d-0204-6026,v-0204,"Chipsbank Microelectronics Co., Ltd",p-6026,CBM1180 Flash drive controller,,,,,,,,,,,,
d-0218-0301,v-0218,Hangzhou Worlde,p-0301,MIDI Port,,,,,,,,,,,,
d-02ad-138c,v-02ad,"HUMAX Co., Ltd.",p-138c,PVR Mass Storage,,,,,,,,,,,,
d-0324-bc06,v-0324,OCZ Technology Inc,p-bc06,OCZ ATV USB 2.0 Flash Drive,,,,,,,,,,,,
d-0324-bc08,v-0324,OCZ Technology Inc,p-bc08,OCZ Rally2/ATV USB 2.0 Flash Drive,,,,,,,,,,,,
d-0325-ac02,v-0325,OCZ Technology Inc,p-ac02,ATV Turbo / Rally2 Dual Channel USB 2.0 Flash Drive,,,,,,,,,,,,
d-0386-0001,v-0386,LTS,p-0001,PSX for USB Converter,,,,,,,,,,,,
d-03da-0002,v-03da,Bernd Walter Computer Technology,p-0002,HD44780 LCD interface,,,,,,,,,,,,
d-03e8-0004,v-03e8,"EndPoints, Inc.",p-0004,SE401 Webcam,,,,,,,,,,,,
d-03e8-0008,v-03e8,"EndPoints, Inc.",p-0008,101 Ethernet [klsi],,,,,,,,,,,,
d-03e8-0015,v-03e8,"EndPoints, Inc.",p-0015,ATAPI Enclosure,,,,,,,,,,,,
d-03e8-2123,v-03e8,"EndPoints, Inc.",p-2123,SiPix StyleCam Deluxe,,,,,,,,,,,,
d-03e8-8004,v-03e8,"EndPoints, Inc.",p-8004,Aox 99001,,,,,,,,,,,,
d-03eb-0902,v-03eb,Atmel Corp.,p-0902,4-Port Hub,,,,,,,,,,,,
d-03eb-2002,v-03eb,Atmel Corp.,p-2002,Mass Storage Device,,,,,,,,,,,,
d-03eb-2015,v-03eb,Atmel Corp.,p-2015,at90usbkey sample firmware (HID keyboard),,,,,,,,,,,,
d-03eb-2018,v-03eb,Atmel Corp.,p-2018,at90usbkey sample firmware (CDC ACM),,,,,,,,,,,,
d-03eb-2019,v-03eb,Atmel Corp.,p-2019,stk525 sample firmware (microphone),,,,,,,,,,,,
d-03eb-201c,v-03eb,Atmel Corp.,p-201c,at90usbkey sample firmware (HID mouse),,,,,,,,,,,,
d-03eb-201d,v-03eb,Atmel Corp.,p-201d,at90usbkey sample firmware (HID generic),,,,,,,,,,,,
d-03eb-2022,v-03eb,Atmel Corp.,p-2022,at90usbkey sample firmware (composite device),,,,,,,,,,,,
d-03eb-2040,v-03eb,Atmel Corp.,p-2040,LUFA Test PID,,,,,,,,,,,,
d-03eb-2041,v-03eb,Atmel Corp.,p-2041,LUFA Mouse Demo Application,,,,,,,,,,,,
d-03eb-2042,v-03eb,Atmel Corp.,p-2042,LUFA Keyboard Demo Application,,,,,,,,,,,,
d-03eb-2043,v-03eb,Atmel Corp.,p-2043,LUFA Joystick Demo Application,,,,,,,,,,,,
d-03eb-2044,v-03eb,Atmel Corp.,p-2044,LUFA CDC Demo Application,,,,,,,,,,,,
d-03eb-2045,v-03eb,Atmel Corp.,p-2045,LUFA Mass Storage Demo Application,,,,,,,,,,,,
d-03eb-2046,v-03eb,Atmel Corp.,p-2046,LUFA Audio Output Demo Application,,,,,,,,,,,,
d-03eb-2047,v-03eb,Atmel Corp.,p-2047,LUFA Audio Input Demo Application,,,,,,,,,,,,
d-03eb-2048,v-03eb,Atmel Corp.,p-2048,LUFA MIDI Demo Application,,,,,,,,,,,,
d-03eb-2049,v-03eb,Atmel Corp.,p-2049,Stripe Snoop Magnetic Stripe Reader,,,,,,,,,,,,
d-03eb-204a,v-03eb,Atmel Corp.,p-204a,LUFA CDC Class Bootloader,,,,,,,,,,,,
d-03eb-204b,v-03eb,Atmel Corp.,p-204b,LUFA USB to Serial Adapter Project,,,,,,,,,,,,
d-03eb-204c,v-03eb,Atmel Corp.,p-204c,LUFA RNDIS Demo Application,,,,,,,,,,,,
d-03eb-204d,v-03eb,Atmel Corp.,p-204d,LUFA Combined Mouse and Keyboard Demo Application,,,,,,,,,,,,
d-03eb-204e,v-03eb,Atmel Corp.,p-204e,LUFA Dual CDC Demo Application,,,,,,,,,,,,
d-03eb-204f,v-03eb,Atmel Corp.,p-204f,LUFA Generic HID Demo Application,,,,,,,,,,,,
d-03eb-2060,v-03eb,Atmel Corp.,p-2060,Benito Programmer Project,,,,,,,,,,,,
d-03eb-2061,v-03eb,Atmel Corp.,p-2061,LUFA Combined Mass Storage and Keyboard Demo Application,,,,,,,,,,,,
d-03eb-2062,v-03eb,Atmel Corp.,p-2062,LUFA Combined CDC and Mouse Demo Application,,,,,,,,,,,,
d-03eb-2063,v-03eb,Atmel Corp.,p-2063,LUFA Datalogger Device,,,,,,,,,,,,
d-03eb-2064,v-03eb,Atmel Corp.,p-2064,Interfaceless Control-Only LUFA Devices,,,,,,,,,,,,
d-03eb-2065,v-03eb,Atmel Corp.,p-2065,LUFA Test and Measurement Demo Application,,,,,,,,,,,,
d-03eb-2066,v-03eb,Atmel Corp.,p-2066,LUFA Multiple Report HID Demo,,,,,,,,,,,,
d-03eb-2068,v-03eb,Atmel Corp.,p-2068,LUFA Virtual Serial/Mass Storage Demo,,,,,,,,,,,,
d-03eb-2069,v-03eb,Atmel Corp.,p-2069,LUFA Webserver Project,,,,,,,,,,,,
d-03eb-2103,v-03eb,Atmel Corp.,p-2103,JTAG ICE mkII,,,,,,,,,,,,
d-03eb-2104,v-03eb,Atmel Corp.,p-2104,AVR ISP mkII,,,,,,,,,,,,
d-03eb-2105,v-03eb,Atmel Corp.,p-2105,AVRONE!,,,,,,,,,,,,
d-03eb-2106,v-03eb,Atmel Corp.,p-2106,STK600 development board,,,,,,,,,,,,
d-03eb-2107,v-03eb,Atmel Corp.,p-2107,AVR Dragon,,,,,,,,,,,,
d-03eb-210d,v-03eb,Atmel Corp.,p-210d,XPLAIN evaluation kit (CDC ACM),,,,,,,,,,,,
d-03eb-2122,v-03eb,Atmel Corp.,p-2122,XMEGA-A1 Explained evaluation kit,,,,,,,,,,,,
d-03eb-2310,v-03eb,Atmel Corp.,p-2310,EVK11xx evaluation board,,,,,,,,,,,,
d-03eb-2ffb,v-03eb,Atmel Corp.,p-2ffb,at90usb AVR DFU bootloader,,,,,,,,,,,,
d-03eb-2ffd,v-03eb,Atmel Corp.,p-2ffd,at89c5130/c5131 DFU bootloader,,,,,,,,,,,,
d-03eb-2fff,v-03eb,Atmel Corp.,p-2fff,at89c5132/c51snd1c DFU bootloader,,,,,,,,,,,,
d-03eb-3301,v-03eb,Atmel Corp.,p-3301,at43301 4-Port Hub,,,,,,,,,,,,
d-03eb-3312,v-03eb,Atmel Corp.,p-3312,4-Port Hub,,,,,,,,,,,,
d-03eb-4102,v-03eb,Atmel Corp.,p-4102,AirVast W-Buddie WN210,,,,,,,,,,,,
d-03eb-5601,v-03eb,Atmel Corp.,p-5601,at76c510 Prism-II 802.11b Access Point,,,,,,,,,,,,
d-03eb-5603,v-03eb,Atmel Corp.,p-5603,Cisco 7920 WiFi IP Phone,,,,,,,,,,,,
d-03eb-6124,v-03eb,Atmel Corp.,p-6124,at91sam SAMBA bootloader,,,,,,,,,,,,
d-03eb-7603,v-03eb,Atmel Corp.,p-7603,D-Link DWL-120 802.11b Wireless Adapter [Atmel at76c503a],,,,,,,,,,,,
d-03eb-7604,v-03eb,Atmel Corp.,p-7604,at76c503a 802.11b Adapter,,,,,,,,,,,,
d-03eb-7605,v-03eb,Atmel Corp.,p-7605,at76c503a 802.11b Adapter,,,,,,,,,,,,
d-03eb-7606,v-03eb,Atmel Corp.,p-7606,at76c505 802.11b Adapter,,,,,,,,,,,,
d-03eb-7611,v-03eb,Atmel Corp.,p-7611,at76c510 rfmd2948 802.11b Access Point,,,,,,,,,,,,
d-03eb-7613,v-03eb,Atmel Corp.,p-7613,WL-1130 USB,,,,,,,,,,,,
d-03eb-7614,v-03eb,Atmel Corp.,p-7614,AT76c505a Wireless Adapter,,,,,,,,,,,,
d-03eb-7615,v-03eb,Atmel Corp.,p-7615,AT76C505AMX Wireless Adapter,,,,,,,,,,,,
d-03eb-7617,v-03eb,Atmel Corp.,p-7617,AT76C505AS Wireless Adapter,,,,,,,,,,,,
d-03eb-ff07,v-03eb,Atmel Corp.,p-ff07,Tux Droid fish dongle,,,,,,,,,,,,
d-03ee-0000,v-03ee,Mitsumi,p-0000,CD-R/RW Drive,,,,,,,,,,,,
d-03ee-2501,v-03ee,Mitsumi,p-2501,eHome Infrared Receiver,,,,,,,,,,,,
d-03ee-2502,v-03ee,Mitsumi,p-2502,eHome Infrared Receiver,,,,,,,,,,,,
d-03ee-5609,v-03ee,Mitsumi,p-5609,Japanese Keyboard,,,,,,,,,,,,
d-03ee-641f,v-03ee,Mitsumi,p-641f,WIF-0402C Bluetooth Adapter,,,,,,,,,,,,
d-03ee-6438,v-03ee,Mitsumi,p-6438,Bluetooth Device,,,,,,,,,,,,
d-03ee-6440,v-03ee,Mitsumi,p-6440,WML-C52APR Bluetooth Adapter,,,,,,,,,,,,
d-03ee-6901,v-03ee,Mitsumi,p-6901,SmartDisk FDD,,,,,,,,,,,,
d-03ee-6902,v-03ee,Mitsumi,p-6902,Floppy Disk Drive,,,,,,,,,,,,
d-03ee-7500,v-03ee,Mitsumi,p-7500,CD-R/RW,,,,,,,,,,,,
d-03ee-ffff,v-03ee,Mitsumi,p-ffff,Dongle with BlueCore in DFU mode,,,,,,,,,,,,
d-03f0-0004,v-03f0,Hewlett-Packard,p-0004,DeskJet 895c,,,,,,,,,,,,
d-03f0-0011,v-03f0,Hewlett-Packard,p-0011,OfficeJet G55,,,,,,,,,,,,
d-03f0-0012,v-03f0,Hewlett-Packard,p-0012,DeskJet 1125C Printer Port,,,,,,,,,,,,
d-03f0-0024,v-03f0,Hewlett-Packard,p-0024,KU-0316 Keyboard,,,,,,,,,,,,
d-03f0-002a,v-03f0,Hewlett-Packard,p-002a,LaserJet P1102,,,,,,,,,,,,
d-03f0-0101,v-03f0,Hewlett-Packard,p-0101,ScanJet 4100c,,,,,,,,,,,,
d-03f0-0102,v-03f0,Hewlett-Packard,p-0102,PhotoSmart S20,,,,,,,,,,,,
d-03f0-0104,v-03f0,Hewlett-Packard,p-0104,DeskJet 880c/970c,,,,,,,,,,,,
d-03f0-0105,v-03f0,Hewlett-Packard,p-0105,ScanJet 4200c,,,,,,,,,,,,
d-03f0-0107,v-03f0,Hewlett-Packard,p-0107,CD-Writer Plus,,,,,,,,,,,,
d-03f0-010c,v-03f0,Hewlett-Packard,p-010c,Multimedia Keyboard Hub,,,,,,,,,,,,
d-03f0-0111,v-03f0,Hewlett-Packard,p-0111,G55xi Printer/Scanner/Copier,,,,,,,,,,,,
d-03f0-0117,v-03f0,Hewlett-Packard,p-0117,LaserJet 3200,,,,,,,,,,,,
d-03f0-011c,v-03f0,Hewlett-Packard,p-011c,hn210w 802.11b Adapter,,,,,,,,,,,,
d-03f0-011d,v-03f0,Hewlett-Packard,p-011d,Integrated Bluetooth Module,,,,,,,,,,,,
d-03f0-0121,v-03f0,Hewlett-Packard,p-0121,HP49g+ Calculator,,,,,,,,,,,,
d-03f0-0122,v-03f0,Hewlett-Packard,p-0122,HID Internet Keyboard,,,,,,,,,,,,
d-03f0-0201,v-03f0,Hewlett-Packard,p-0201,ScanJet 6200c,,,,,,,,,,,,
d-03f0-0202,v-03f0,Hewlett-Packard,p-0202,PhotoSmart S20,,,,,,,,,,,,
d-03f0-0204,v-03f0,Hewlett-Packard,p-0204,DeskJet 815c,,,,,,,,,,,,
d-03f0-0205,v-03f0,Hewlett-Packard,p-0205,ScanJet 3300c,,,,,,,,,,,,
d-03f0-0207,v-03f0,Hewlett-Packard,p-0207,CD-Writer Plus 8200e,,,,,,,,,,,,
d-03f0-020c,v-03f0,Hewlett-Packard,p-020c,Multimedia Keyboard,,,,,,,,,,,,
d-03f0-0211,v-03f0,Hewlett-Packard,p-0211,OfficeJet G85,,,,,,,,,,,,
d-03f0-0212,v-03f0,Hewlett-Packard,p-0212,DeskJet 1220C,,,,,,,,,,,,
d-03f0-0217,v-03f0,Hewlett-Packard,p-0217,LaserJet 2200,,,,,,,,,,,,
d-03f0-0218,v-03f0,Hewlett-Packard,p-0218,APOLLO P2500/2600,,,,,,,,,,,,
d-03f0-0304,v-03f0,Hewlett-Packard,p-0304,DeskJet 810c/812c,,,,,,,,,,,,
d-03f0-0305,v-03f0,Hewlett-Packard,p-0305,ScanJet 4300c,,,,,,,,,,,,
d-03f0-0307,v-03f0,Hewlett-Packard,p-0307,CD-Writer+ CD-4e,,,,,,,,,,,,
d-03f0-0311,v-03f0,Hewlett-Packard,p-0311,OfficeJet G85xi,,,,,,,,,,,,
d-03f0-0312,v-03f0,Hewlett-Packard,p-0312,Color Inkjet CP1700,,,,,,,,,,,,
d-03f0-0314,v-03f0,Hewlett-Packard,p-0314,designjet 30/130 series,,,,,,,,,,,,
d-03f0-0317,v-03f0,Hewlett-Packard,p-0317,LaserJet 1200,,,,,,,,,,,,
d-03f0-0324,v-03f0,Hewlett-Packard,p-0324,SK-2885 keyboard,,,,,,,,,,,,
d-03f0-0401,v-03f0,Hewlett-Packard,p-0401,ScanJet 5200c,,,,,,,,,,,,
d-03f0-0404,v-03f0,Hewlett-Packard,p-0404,DeskJet 830c/832c,,,,,,,,,,,,
d-03f0-0405,v-03f0,Hewlett-Packard,p-0405,ScanJet 3400cse,,,,,,,,,,,,
d-03f0-0411,v-03f0,Hewlett-Packard,p-0411,OfficeJet G95,,,,,,,,,,,,
d-03f0-0412,v-03f0,Hewlett-Packard,p-0412,Printing Support,,,,,,,,,,,,
d-03f0-0417,v-03f0,Hewlett-Packard,p-0417,LaserJet 1200 series,,,,,,,,,,,,
d-03f0-0423,v-03f0,Hewlett-Packard,p-0423,HS-COMBO,,,,,,,,,,,,
d-03f0-0504,v-03f0,Hewlett-Packard,p-0504,DeskJet 885c,,,,,,,,,,,,
d-03f0-0505,v-03f0,Hewlett-Packard,p-0505,ScanJet 2100c,,,,,,,,,,,,
d-03f0-0507,v-03f0,Hewlett-Packard,p-0507,DVD+RW,,,,,,,,,,,,
d-03f0-050c,v-03f0,Hewlett-Packard,p-050c,5219 Wireless Keyboard,,,,,,,,,,,,
d-03f0-0511,v-03f0,Hewlett-Packard,p-0511,OfficeJet K60,,,,,,,,,,,,
d-03f0-0512,v-03f0,Hewlett-Packard,p-0512,DeckJet 450,,,,,,,,,,,,
d-03f0-0517,v-03f0,Hewlett-Packard,p-0517,LaserJet 1000,,,,,,,,,,,,
d-03f0-051d,v-03f0,Hewlett-Packard,p-051d,Wireless (Bluetooth + WLAN) Interface [Integrated Module],,,,,,,,,,,,
d-03f0-0601,v-03f0,Hewlett-Packard,p-0601,ScanJet 6300c,,,,,,,,,,,,
d-03f0-0604,v-03f0,Hewlett-Packard,p-0604,DeskJet 840c,,,,,,,,,,,,
d-03f0-0605,v-03f0,Hewlett-Packard,p-0605,ScanJet 2200c,,,,,,,,,,,,
d-03f0-0611,v-03f0,Hewlett-Packard,p-0611,OfficeJet K60xi,,,,,,,,,,,,
d-03f0-0612,v-03f0,Hewlett-Packard,p-0612,business inkjet 3000,,,,,,,,,,,,
d-03f0-0624,v-03f0,Hewlett-Packard,p-0624,Bluetooth Dongle,,,,,,,,,,,,
d-03f0-0701,v-03f0,Hewlett-Packard,p-0701,ScanJet 5300c/5370c,,,,,,,,,,,,
d-03f0-0704,v-03f0,Hewlett-Packard,p-0704,DeskJet 825c,,,,,,,,,,,,
d-03f0-0705,v-03f0,Hewlett-Packard,p-0705,ScanJet 4400c,,,,,,,,,,,,
d-03f0-0711,v-03f0,Hewlett-Packard,p-0711,OfficeJet K80,,,,,,,,,,,,
d-03f0-0712,v-03f0,Hewlett-Packard,p-0712,DeskJet 1180c,,,,,,,,,,,,
d-03f0-0714,v-03f0,Hewlett-Packard,p-0714,Printing Support,,,,,,,,,,,,
d-03f0-0801,v-03f0,Hewlett-Packard,p-0801,ScanJet 7400c,,,,,,,,,,,,
d-03f0-0804,v-03f0,Hewlett-Packard,p-0804,DeskJet 816c,,,,,,,,,,,,
d-03f0-0805,v-03f0,Hewlett-Packard,p-0805,HP4470C,,,,,,,,,,,,
d-03f0-0811,v-03f0,Hewlett-Packard,p-0811,OfficeJet K80xi,,,,,,,,,,,,
d-03f0-0817,v-03f0,Hewlett-Packard,p-0817,LaserJet 3300,,,,,,,,,,,,
d-03f0-0901,v-03f0,Hewlett-Packard,p-0901,ScanJet 2300c,,,,,,,,,,,,
d-03f0-0904,v-03f0,Hewlett-Packard,p-0904,DeskJet 845c,,,,,,,,,,,,
d-03f0-0912,v-03f0,Hewlett-Packard,p-0912,Printing Support,,,,,,,,,,,,
d-03f0-0917,v-03f0,Hewlett-Packard,p-0917,LaserJet 3330,,,,,,,,,,,,
d-03f0-0924,v-03f0,Hewlett-Packard,p-0924,Modular Smartcard Keyboard,,,,,,,,,,,,
d-03f0-0a01,v-03f0,Hewlett-Packard,p-0a01,ScanJet 2400c,,,,,,,,,,,,
d-03f0-0a17,v-03f0,Hewlett-Packard,p-0a17,color LaserJet 3700,,,,,,,,,,,,
d-03f0-0b01,v-03f0,Hewlett-Packard,p-0b01,ScanJet 82x0C,,,,,,,,,,,,
